"Location","Number","Color","Mass","Store"
"Wieselgrensplatsen","1","Orange","3.278","Coop"
"Wieselgrensplatsen","1","Yellow","2.604","Coop"
"Wieselgrensplatsen","1","Yellow","1.931","Coop"
"Wieselgrensplatsen","1","Blue","1.682","Coop"
"Wieselgrensplatsen","1","Blue","3.491","Coop"
"Wieselgrensplatsen","1","Green","2.917","Coop"
"Wieselgrensplatsen","1","Blue","2.907","Coop"
"Wieselgrensplatsen","1","Blue","2.247","Coop"
"Wieselgrensplatsen","1","Orange","2.165","Coop"
"Wieselgrensplatsen","1","Yellow","2.897","Coop"
"Wieselgrensplatsen","1","Yellow","2.386","Coop"
"Wieselgrensplatsen","1","Red","2.712","Coop"
"Wieselgrensplatsen","1","Blue","2.663","Coop"
"Wieselgrensplatsen","1","Yellow","2.663","Coop"
"Wieselgrensplatsen","1","Yellow","1.341","Coop"
"Wieselgrensplatsen","1","Blue","2.842","Coop"
"Wieselgrensplatsen","1","Green","3.62","Coop"
"Wieselgrensplatsen","1","Green","1.813","Coop"
"Wieselgrensplatsen","1","Orange","2.077","Coop"
"Wieselgrensplatsen","1","Green","2.516","Coop"
"Wieselgrensplatsen","1","Red","1.638","Coop"
"Wieselgrensplatsen","1","Blue","2.531","Coop"
"Wieselgrensplatsen","1","Green","2.016","Coop"
"Wieselgrensplatsen","1","Yellow","2.434","Coop"
"Wieselgrensplatsen","1","Blue","2.679","Coop"
"Wieselgrensplatsen","1","Yellow","2.42","Coop"
"Wieselgrensplatsen","1","Green","2.659","Coop"
"Wieselgrensplatsen","1","Green","1.528","Coop"
"Wieselgrensplatsen","1","Red","2.936","Coop"
"Wieselgrensplatsen","1","Orange","2.517","Coop"
"Wieselgrensplatsen","1","Blue","3.254","Coop"
"Wieselgrensplatsen","1","Blue","1.494","Coop"
"Wieselgrensplatsen","1","Blue","2.334","Coop"
"Wieselgrensplatsen","1","Blue","2.732","Coop"
"Wieselgrensplatsen","1","Orange","3.062","Coop"
"Wieselgrensplatsen","1","Blue","1.858","Coop"
"Wieselgrensplatsen","1","Yellow","3.104","Coop"
"Wieselgrensplatsen","1","Blue","2.766","Coop"
"Wieselgrensplatsen","1","Green","1.205","Coop"
"Wieselgrensplatsen","1","Yellow","2.51","Coop"
"Wieselgrensplatsen","1","Blue","2.706","Coop"
"Wieselgrensplatsen","1","Blue","3.06","Coop"
"Wieselgrensplatsen","1","Yellow","2.691","Coop"
